"state","PowerOutages","PowerOutagesDurationHours"
"Alabama",10,510
"Alaska",8,230
"Arizona",2,7
"Arkansas",10,93
"California",39,414
"Colorado",5,38
"Connecticut",11,233
"Delaware",5,39
"Florida",7,309
"Georgia",8,230
"Idaho",1,2
"Illinois",5,74
"Indiana",4,85
"Iowa",3,5
"Kentucky",2,85
"Louisiana",16,697
"Maine",12,283
"Massachusetts",12,233
"Michigan",5,171
"Minnesota",2,48
"Mississippi",10,351
"Missouri",1,71
"Nebraska",3,4
"Nevada",5,32
"New Hampshire",11,233
"New Jersey",6,317
"New York",11,426
"North Carolina",11,304
"North Dakota",1,2
"Ohio",11,97
"Oklahoma",6,309
"Oregon",5,41
"Pennsylvania",8,10
"Rhode Island",11,233
"South Carolina",8,216
"Tennessee",3,82
"Texas",31,740
"Utah",1,
"Vermont",11,233
"Virginia",4,114
"Washington",12,220
"West Virginia",5,110
"Wyoming",2,5